date,country,points
2012-09-11,Switzerland,24.38644824035867
2012-10-12,Spain,82.57242058431433
2012-10-12,Portugal,11.586682051159547
2012-10-12,Netherlands,91.21894287604486
2012-10-12,Germany,70.37413593876977
2012-10-12,Belgium,24.67029104799409
2012-10-12,Switzerland,23.801615295262305
2012-10-16,Belgium,36.25166338435818
2012-10-16,Germany,69.26685173939151
2012-10-16,Iran,64.654810048541
2012-10-16,Switzerland,36.01588515072382
2012-10-16,Portugal,11.009359441069567
2012-10-16,Netherlands,102.4061119825677
2012-10-16,France,-2.592006286825251
2012-10-16,Spain,80.59395759437027
2012-11-14,Iran,51.89314057636777
2012-11-14,Japan,66.64882227045291
2013-03-22,France,9.61365197577517
2013-03-22,Portugal,10.995167494239572
2013-03-22,Germany,79.22149937657267
2013-03-22,Netherlands,111.89475195530947
2013-03-22,Belgium,47.55765131092241
2013-03-22,Spain,78.36395669086693
2013-03-23,Switzerland,34.52327314678756
2013-03-26,Portugal,22.58372197565619
2013-03-26,Belgium,58.272640224406764
2013-03-26,Japan,52.67840273196059
2013-03-26,France,-4.525842492450508
2013-03-26,Spain,89.22446222264125
2013-03-26,Germany,88.60737097135298
2013-03-26,Netherlands,122.27064140605322
2013-06-04,Japan,52.46244405323679
2013-06-04,Iran,63.26888199526544
2013-06-07,Belgium,68.71290386559562
2013-06-07,Portugal,34.46284135422563
2013-06-08,Switzerland,45.5306611428513
2013-06-11,Japan,64.41625473663217
2013-06-11,Iran,73.32235898906407
2013-06-18,Iran,85.32352637373742
2013-09-06,Netherlands,118.734881854619
2013-09-06,Germany,99.52014505986405
2013-09-06,France,-5.080366519613921
2013-09-06,Spain,99.50458211718248
2013-09-06,Portugal,45.76872460442583
2013-09-06,Switzerland,44.37688842677677
2013-09-06,Belgium,78.59057229296383
2013-09-10,France,6.536869853617111
2013-09-10,Germany,107.57797978367734
2013-09-10,Netherlands,126.41037485649332
2013-09-10,Switzerland,56.05397451535795
2013-10-11,Belgium,90.18794397400512
2013-10-11,Switzerland,66.87986243277227
2013-10-11,Germany,117.45139827114842
2013-10-11,Netherlands,136.39796543043803
2013-10-11,Portugal,44.89324654813948
2013-10-11,Spain,108.3964018042441
2013-10-15,Belgium,87.10235178337453
2013-10-15,France,18.71803085507169
2013-10-15,Portugal,55.027488731455335
2013-10-15,Netherlands,146.0932694286979
2013-10-15,Germany,128.46876177561933
2013-10-15,Spain,117.40956066349618
2013-10-15,Switzerland,77.96222615301681
2013-11-15,Portugal,67.1997917994454
2013-11-15,France,5.414527617302706
2013-11-19,France,16.516161013045505
2013-11-19,Portugal,78.77408612139315
2014-06-12,Brazil,48.748836329258666
2014-06-13,Spain,91.03497587977328
2014-06-13,Netherlands,169.718684644975
2014-06-14,Japan,39.06274158438086
2014-06-15,France,40.29005422088461
2014-06-15,Switzerland,99.80186159320144
2014-06-16,Iran,82.78936841868293
2014-06-16,Germany,151.09208125322036
2014-06-16,Portugal,51.39740559899418
2014-06-17,Belgium,108.95954968377515
2014-06-17,Brazil,47.702304075092094
2014-06-18,Netherlands,188.6162156905345
2014-06-18,Spain,63.98895066238123
2014-06-19,Japan,38.605965009905624
2014-06-20,France,62.44758617489161
2014-06-20,Switzerland,71.95939354720844
2014-06-21,Iran,56.16855548178245
2014-06-21,Germany,145.3990670657363
2014-06-22,Belgium,131.26257004554753
2014-06-22,Portugal,48.64465287187538
2014-06-23,Spain,86.35052221677398
2014-06-23,Brazil,68.07376732789987
2014-06-23,Netherlands,208.07900392444475
2014-06-24,Japan,10.92435450800502
2014-06-25,France,59.829130531587495
2014-06-25,Iran,29.656721921383703
2014-06-25,Switzerland,90.70739921012662
2014-06-26,Portugal,72.49222891434454
2014-06-26,Germany,168.52518781056585
2014-06-26,Belgium,150.6242880879027
2014-06-28,Brazil,66.76205063468466
2014-06-29,Netherlands,227.61760248119563
2014-06-30,Germany,186.3874776781072
2014-06-30,France,83.14566787129394
2014-07-01,Belgium,172.22820123577517
2014-07-01,Switzerland,62.36020749804767
2014-07-04,Brazil,92.62545544017871
2014-07-04,France,47.27913481137271
2014-07-04,Germany,210.52094461818595
2014-07-05,Belgium,141.6336657105604
2014-07-05,Netherlands,219.3812940704143
2014-07-08,Brazil,55.95229349487295
2014-07-08,Germany,233.8477826728802
2014-07-09,Netherlands,218.95430067275876
2014-07-12,Brazil,16.863599219185517
2014-07-12,Netherlands,239.86560639707133
2014-07-13,Germany,262.5642068094153
2015-06-16,Japan,9.252997843285819
2015-06-16,Iran,28.343440691081877
2015-09-03,Iran,40.741109800609834
2015-09-03,Japan,21.116357584296683
2015-09-08,Iran,51.62702467446226
2015-09-08,Japan,32.777341378359644
