country,num_games,num_wins,win_ratio
Matabeleland,5,2,0.13333333333333333
Eritrea,59,9,0.13043478260869568
Comoros,60,9,0.12857142857142856
Saare County,31,5,0.12195121951219512
Seychelles,90,11,0.11
Malta,184,21,0.10824742268041236
Mayotte,18,3,0.10714285714285715
Alderney,19,3,0.10344827586206895
Tuvalu,29,4,0.10256410256410256
Luxembourg,178,19,0.10106382978723404
Frøya,20,3,0.09999999999999999
U.S. Virgin Islands,51,6,0.09836065573770492
United Koreans in Japan,11,2,0.09523809523809525
American Samoa,34,4,0.09090909090909091
Surrey,1,1,0.09090909090909091
Bhutan,79,8,0.0898876404494382
Sint Maarten,13,2,0.08695652173913043
Canary Islands,2,1,0.08333333333333333
Romani people,3,1,0.07692307692307693
Liechtenstein,155,12,0.07272727272727274
Republic of St. Pauli,4,1,0.07142857142857142
Two Sicilies,4,1,0.07142857142857142
Somalia,63,5,0.0684931506849315
East Timor,51,4,0.06557377049180328
Gozo,6,1,0.0625
Kabylia,6,1,0.0625
Anguilla,43,3,0.05660377358490566
Raetia,8,1,0.05555555555555555
Timor-Leste,9,1,0.05263157894736842
Chagos Islands,11,1,0.04761904761904762
Djibouti,65,3,0.04
Andorra,145,6,0.038709677419354833
Northern Mariana Islands,21,1,0.03225806451612903
San Marino,118,1,0.0078125
Găgăuzia,3,0,0.0
Silesia,1,0,0.0
Vatican City,6,0,0.0
Kiribati,8,0,0.0
Tibet,13,0,0.0
Madrid,1,0,0.0
Sark,4,0,0.0
Saint Pierre and Miquelon,7,0,0.0
Darfur,7,0,0.0
Micronesia,4,0,0.0
Saint Helena,4,0,0.0
